xi,qmax_scale,plan,V_pen,J_ac,feasible_dc,ac_ok
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,0.5,open(131); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,0.5,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,0.5,open(131); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,0.5,open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,0.5,open(131); open(149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2016.json,0.5,open(105); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2016.json,0.5,open(S2:15); open(S4:96); open(S1:34),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9528.json,0.5,open(105); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9528.json,0.5,open(41); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9528.json,0.5,open(S1:34); open(S1:40); open(S1:42),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,0.5,open(105); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,0.5,open(105); open(128); open(S6:135),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,0.5,open(S2:15); open(S2:17); open(S2:18),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,0.5,open(125); open(131); open(141),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,0.5,open(125); open(131); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,0.5,open(37); open(131); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7547.json,0.5,open(105); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7547.json,0.5,open(105); open(128),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7547.json,0.5,open(105); open(128); open(S2:16),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7547.json,0.5,open(105); open(128); open(132),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,0.5,open(118); open(131); open(S7:149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,0.5,open(118); open(131); open(S6:135),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,0.5,open(118); open(131); open(149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,0.5,open(S1:41); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6334.json,0.5,open(105); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6334.json,0.5,open(105); open(128); open(S6:135),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1810.json,0.5,open(132); open(147); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1810.json,0.5,open(132); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1810.json,0.5,open(132),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9170.json,0.5,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9170.json,0.5,open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9170.json,0.5,open(S7:150); open(S8:160); open(S1:34),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9170.json,0.5,open(S1:34); open(S2:15); open(S3:70),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8534.json,0.5,open(S4:105); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8534.json,0.5,open(S6:139); open(143); open(156),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8534.json,0.5,open(S4:105); open(128); open(132),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8534.json,0.5,open(34); open(15); open(70),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6051.json,0.5,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6051.json,0.5,open(131); open(149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6051.json,0.5,open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3281.json,0.5,open(125); open(131); open(141),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3281.json,0.5,open(125); open(131); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6521.json,0.5,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6521.json,0.5,open(131); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6521.json,0.5,open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6521.json,0.5,open(131); open(141); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6521.json,0.5,open(131); open(149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4800.json,0.5,open(119); open(S5:123); open(125),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4800.json,0.5,open(S1:34); open(S2:15); open(S3:70),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4800.json,0.5,open(S5:120); open(S6:135); open(S1:34),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4800.json,0.5,open(5); open(6); open(7),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_350.json,0.5,open(105); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_350.json,0.5,open(105); open(128),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4534.json,0.5,open(118); open(131); open(S7:149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4534.json,0.5,open(118); open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4534.json,0.5,open(118); open(131); open(S6:135),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6688.json,0.5,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6688.json,0.5,open(131); open(147); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6688.json,0.5,open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7066.json,0.5,open(119); open(S5:123); open(125),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7066.json,0.5,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7066.json,0.5,open(119); open(S5:124); open(125),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7066.json,0.5,open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2943.json,0.5,open(37); open(131); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2943.json,0.5,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5364.json,0.5,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5364.json,0.5,open(131); open(S7:149); open(156),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5364.json,0.5,open(131); open(141),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5364.json,0.5,open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5364.json,0.5,open(131); open(141); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5745.json,0.5,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5745.json,0.5,open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5745.json,0.5,open(131); open(149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5745.json,0.5,open(131); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5206.json,0.5,open(105); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5206.json,0.5,open(97); open(7); open(S5:123),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5206.json,0.5,open(117); open(S7:150); open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5206.json,0.5,open(2); open(128),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5206.json,0.5,open(97); open(99); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5206.json,0.5,open(117); open(S7:150); open(149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5206.json,0.5,open(7); open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5913.json,0.5,open(118); open(131); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5913.json,0.5,open(118); open(131); open(149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5913.json,0.5,open(118); open(S1:41); open(128),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5913.json,0.5,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5913.json,0.5,open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8138.json,0.5,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8138.json,0.5,open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8138.json,0.5,open(131); open(156),,,1,0
