xi,chosen,rejected,best_V,worst_V,delta_V,rel_V,best_J_dc,worst_J_dc
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2016.json,open(105); open(128); open(S6:136),open(S9:5); open(S9:6); open(S9:7),12167.853988479876,1000000.0,987832.1460115202,82.1837606653373,1867.87184302384,7254.9777569864755
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2016.json,open(105); open(128); open(S6:136),open(S1:34); open(S1:35); open(S1:40),12167.853988479876,1000000.0,987832.1460115202,82.1837606653373,1867.87184302384,5949.975135265664
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2016.json,open(105); open(128); open(S6:136),open(S2:15); open(S2:16); open(S2:17),12167.853988479876,14415.580146213808,2247.7261577339323,1.1847265885884237,1867.87184302384,1867.5927715185528
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,open(105); open(128); open(S6:136),open(34); open(35); open(40),14145.853684524898,1000000.0,985854.1463154751,70.692092700914,1870.7298502689682,5952.83209238675
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,open(105); open(128); open(S6:136),open(S1:34); open(S3:70); open(S4:95),14145.853684524898,16994.709970846372,2848.856286321474,1.2013916126842192,1870.7298502689682,1870.6236991550802
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,open(105); open(128); open(S6:136),open(S2:15); open(S8:160); open(S1:34),14145.853684524898,15086.214747773387,940.3610632484888,1.0664760914554923,1870.7298502689682,2052.7524118056144
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,open(125); open(131); open(141),open(S6:135); open(S6:136); open(S6:137),12168.070121083769,1000000.0,987831.9298789162,82.1823008948056,2691.9172844898617,14357.927437961573
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,open(125); open(131); open(141),open(S1:34); open(S2:15); open(S3:70),12168.070121083769,15081.670277111412,2913.6001560276436,1.2394463647098164,2691.9172844898617,10849.019583307228
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7547.json,open(105); open(128); open(S6:135),open(34); open(35); open(40),12193.267141188719,1000000.0,987806.7328588113,82.0124736398181,1870.7264282273334,5952.840485222488
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,open(118); open(131); open(S6:135),open(34); open(15); open(70),12198.078933857292,14985.781457289713,2787.702523432421,1.2285361931619252,1816.3437612511725,1819.1621396633518
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,open(118); open(131); open(S6:135),open(S1:34); open(S2:15); open(S3:70),12198.078933857292,14985.781457289713,2787.702523432421,1.2285361931619252,1816.3437612511725,1819.1621396633518
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,open(118); open(131); open(S6:135),open(S7:151); open(S8:160); open(S1:34),12198.078933857292,13145.949663724403,947.8707298671106,1.0777065581397556,1816.3437612511725,3045.94590082802
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1932.json,open(105); open(128); open(S6:136),open(6); open(7); open(8),12128.738401632165,1000000.0,987871.2615983678,82.44880604114852,1863.1357006593862,10741.061087585891
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1932.json,open(105); open(128); open(S6:136),open(S1:34); open(S2:15); open(S3:70),12128.738401632165,1000000.0,987871.2615983678,82.44880604114852,1863.1357006593862,8932.626137927173
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1932.json,open(105); open(128); open(S6:136),open(34); open(15); open(70),12128.738401632165,1000000.0,987871.2615983678,82.44880604114852,1863.1357006593862,8932.626137927173
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6334.json,open(105); open(128); open(S6:135),open(S3:70); open(S3:71); open(S3:72),12033.449533782761,1000000.0,987966.5504662172,83.10169059940755,1873.0863825648642,3673.2765517827393
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6334.json,open(105); open(128); open(S6:136),open(S3:70); open(S3:71); open(S3:72),12033.837342045881,1000000.0,987966.1626579541,83.09901252412884,1873.0863825648642,3673.2765517827393
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1810.json,open(132); open(147); open(S7:150),open(S6:135); open(S6:136); open(S6:137),12797.932429810513,1000000.0,987202.0675701895,78.13762148569228,2575.164017620807,8408.566739822352
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1810.json,open(132); open(147); open(S7:150),open(S1:34); open(S2:15); open(S3:70),12797.932429810513,14986.955208022584,2189.022778212071,1.1710450332674933,2575.164017620807,2578.5816939023584
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9170.json,open(131); open(S6:135); open(149),open(34); open(15); open(70),12529.277253147106,15194.019196524328,2664.741943377223,1.2126812177221071,2593.960586908255,2597.1308461651925
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8534.json,open(S1:34); open(S2:15); open(S3:70),open(S6:139); open(143); open(156),16259.916382026282,1000000.0,983740.0836179737,61.50093127818298,11843.382292109916,11841.958954448095
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_76.json,open(41); open(128); open(S6:136),open(S1:34); open(S3:70); open(S4:95),16079.662246876762,1000000.0,983920.3377531233,62.1903610067578,1873.999591602372,3567.354661850487
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_76.json,open(41); open(128); open(S6:136),open(S1:34); open(S1:40); open(S1:42),16079.662246876762,1000000.0,983920.3377531233,62.1903610067578,1873.999591602372,5957.726014927657
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6051.json,open(131); open(S6:135); open(149),open(34); open(15); open(70),12081.081674570496,14985.764050196536,2904.68237562604,1.240432310108466,2203.0836752918367,2205.532770809893
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6051.json,open(131); open(S6:135); open(149),open(S1:34); open(S2:15); open(S3:70),12081.081674570496,14985.764050196536,2904.68237562604,1.240432310108466,2203.0836752918367,2205.532770809893
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3281.json,open(125); open(131),open(S6:135); open(S6:136); open(S6:137),12081.34679514438,1000000.0,987918.6532048556,82.77222870565312,10192.754331471957,14357.929947063727
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3281.json,open(125); open(131),open(34); open(15); open(70),12081.34679514438,14986.068648083516,2904.7218529391357,1.2404303015377867,10192.754331471957,10849.042267961602
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3281.json,open(125); open(131),open(S1:34); open(S2:15); open(S3:70),12081.34679514438,14986.068648083516,2904.7218529391357,1.2404303015377867,10192.754331471957,10849.042267961602
